Name: Portia Way, Instruction: Head north on Portia Way, Distance: 29.9 meters, Time: 21.5 seconds
Name: Bow Common Lane, Instruction: Turn left onto Bow Common Lane, Distance: 126.2 meters, Time: 90.9 seconds
Name: -, Instruction: Turn right, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn left, Distance: 20.1 meters, Time: 14.5 seconds
Name: Burdett Road, Instruction: Turn right onto Burdett Road, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 39.3 meters, Time: 28.3 seconds
Name: -, Instruction: Keep left, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 88.0 meters, Time: 63.3 seconds
Name: -, Instruction: Keep left, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Keep right, Distance: 23.4 meters, Time: 16.9 seconds
Name: -, Instruction: Turn right, Distance: 65.2 meters, Time: 46.9 seconds
Name: -, Instruction: Turn right, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 220.9 meters, Time: 159.1 seconds
Name: Harford Street, Instruction: Turn right onto Harford Street, Distance: 60.6 meters, Time: 43.7 seconds
Name: Harford Street, Instruction: Keep left onto Harford Street, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn left, Distance: 391.0 meters, Time: 281.5 seconds
Name: Mile End Road, Instruction: Continue straight onto Mile End Road, Distance: 642.9 meters, Time: 462.8 seconds
Name: -, Instruction: Turn left, Distance: 67.9 meters, Time: 48.9 seconds
Name: Adelina Grove, Instruction: Turn slight left onto Adelina Grove, Distance: 11.6 meters, Time: 8.3 seconds
Name: -, Instruction: Arrive at Adelina Grove, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
