Name: Lengkong Empat, Instruction: Head east on Lengkong Empat, Distance: 6.0 meters, Time: 4.3 seconds
Name: Jalan Selamat, Instruction: Turn right onto Jalan Selamat, Distance: 422.7 meters, Time: 304.4 seconds
Name: -, Instruction: Keep right, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Keep right, Distance: 108.4 meters, Time: 78.0 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.8 seconds
Name: Jalan Krian, Instruction: Turn right onto Jalan Krian, Distance: 429.1 meters, Time: 308.9 seconds
Name: Changi Road, Instruction: Turn right onto Changi Road, Distance: 68.7 meters, Time: 49.5 seconds
Name: Siglap Avenue, Instruction: Keep left onto Siglap Avenue, Distance: 193.6 meters, Time: 139.4 seconds
Name: Frankel Drive, Instruction: Turn right onto Frankel Drive, Distance: 143.1 meters, Time: 103.0 seconds
Name: -, Instruction: Turn left, Distance: 332.6 meters, Time: 239.4 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 523.3 meters, Time: 376.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
