Name: Rue des Abondances, Instruction: Head north on Rue des Abondances, Distance: 59.7 meters, Time: 43.0 seconds
Name: Rue de l'Abreuvoir, Instruction: Turn right onto Rue de l'Abreuvoir, Distance: 223.5 meters, Time: 160.9 seconds
Name: Rue des Victoires, Instruction: Turn sharp left onto Rue des Victoires, Distance: 35.3 meters, Time: 25.4 seconds
Name: Rue du Bac, Instruction: Turn right onto Rue du Bac, Distance: 99.0 meters, Time: 71.3 seconds
Name: Rue des Menus, Instruction: Turn left onto Rue des Menus, Distance: 558.4 meters, Time: 402.0 seconds
Name: Avenue Jean Baptiste Clément, D 103, Instruction: Turn left onto Avenue Jean Baptiste Clément, D 103, Distance: 27.1 meters, Time: 19.5 seconds
Name: -, Instruction: Turn left, Distance: 30.6 meters, Time: 22.0 seconds
Name: -, Instruction: Turn right, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn right, Distance: 54.1 meters, Time: 39.0 seconds
Name: -, Instruction: Turn slight left, Distance: 27.2 meters, Time: 19.6 seconds
Name: Avenue de Saint-Cloud, Instruction: Turn left onto Avenue de Saint-Cloud, Distance: 35.3 meters, Time: 25.4 seconds
Name: -, Instruction: Turn right, Distance: 65.1 meters, Time: 46.9 seconds
Name: -, Instruction: Keep right, Distance: 130.4 meters, Time: 93.9 seconds
Name: Route de Boulogne à Passy, Instruction: Turn left onto Route de Boulogne à Passy, Distance: 18.3 meters, Time: 13.2 seconds
Name: -, Instruction: Turn right, Distance: 97.0 meters, Time: 69.9 seconds
Name: -, Instruction: Keep right, Distance: 157.4 meters, Time: 113.3 seconds
Name: Route du Point du Jour à Bagatelle, Instruction: Turn left onto Route du Point du Jour à Bagatelle, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn right, Distance: 176.5 meters, Time: 127.0 seconds
Name: -, Instruction: Turn slight right, Distance: 214.7 meters, Time: 154.6 seconds
Name: Avenue de la Porte d'Auteuil, Instruction: Turn left onto Avenue de la Porte d'Auteuil, Distance: 20.1 meters, Time: 14.5 seconds
Name: -, Instruction: Arrive at Avenue de la Porte d'Auteuil, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
