Name: Avenida David Nasser, Instruction: Head north on Avenida David Nasser, Distance: 210.3 meters, Time: 151.4 seconds
Name: Rua Vilhena de Moraes, Instruction: Turn right onto Rua Vilhena de Moraes, Distance: 354.7 meters, Time: 255.4 seconds
Name: Rua Vilhena de Moraes, Instruction: Turn left onto Rua Vilhena de Moraes, Distance: 41.5 meters, Time: 29.9 seconds
Name: Rua Rachel de Queiroz, Instruction: Turn slight left onto Rua Rachel de Queiroz, Distance: 96.1 meters, Time: 69.2 seconds
Name: -, Instruction: Keep right, Distance: 60.3 meters, Time: 43.4 seconds
Name: Rua Rachel de Queiroz, Instruction: Turn sharp left onto Rua Rachel de Queiroz, Distance: 217.8 meters, Time: 156.8 seconds
Name: Avenida Jorge Curi, Instruction: Keep right onto Avenida Jorge Curi, Distance: 333.8 meters, Time: 240.3 seconds
Name: Avenida Jorge Curi, Instruction: Continue straight onto Avenida Jorge Curi, Distance: 766.9 meters, Time: 552.1 seconds
Name: Ciclovia Avenida Ayrton Senna, Instruction: Turn right onto Ciclovia Avenida Ayrton Senna, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn right, Distance: 224.6 meters, Time: 161.7 seconds
Name: -, Instruction: Turn left, Distance: 64.3 meters, Time: 46.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
