Name: Tengah Garden Walk, Instruction: Head northeast on Tengah Garden Walk, Distance: 17.6 meters, Time: 12.6 seconds
Name: Plantation Crescent, Instruction: Turn right onto Plantation Crescent, Distance: 78.5 meters, Time: 56.5 seconds
Name: -, Instruction: Turn left, Distance: 7.6 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 214.1 meters, Time: 154.2 seconds
Name: -, Instruction: Turn right, Distance: 53.8 meters, Time: 38.8 seconds
Name: -, Instruction: Turn right, Distance: 17.1 meters, Time: 12.3 seconds
Name: Plantation Crescent, Instruction: Turn left onto Plantation Crescent, Distance: 313.7 meters, Time: 225.9 seconds
Name: -, Instruction: Turn right, Distance: 62.3 meters, Time: 44.8 seconds
Name: -, Instruction: Turn left, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn right, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Turn left, Distance: 141.0 meters, Time: 101.5 seconds
Name: -, Instruction: Turn right, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
