Name: Rue Rude, Instruction: Head south on Rue Rude, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 92.0 meters, Time: 66.2 seconds
Name: -, Instruction: Keep right, Distance: 32.5 meters, Time: 23.4 seconds
Name: -, Instruction: Turn right, Distance: 22.7 meters, Time: 16.3 seconds
Name: -, Instruction: Turn left, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 55.2 meters, Time: 39.8 seconds
Name: -, Instruction: Turn left, Distance: 19.1 meters, Time: 13.7 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 22.0 meters, Time: 15.8 seconds
Name: -, Instruction: Turn left, Distance: 46.3 meters, Time: 33.4 seconds
Name: -, Instruction: Turn right, Distance: 404.5 meters, Time: 291.3 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.1 seconds
Name: Rue Paul Valéry, Instruction: Turn left onto Rue Paul Valéry, Distance: 32.5 meters, Time: 23.4 seconds
Name: -, Instruction: Turn right, Distance: 25.6 meters, Time: 18.5 seconds
Name: Rue de l'Amiral Hamelin, Instruction: Keep left onto Rue de l'Amiral Hamelin, Distance: 110.7 meters, Time: 79.7 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 216.9 meters, Time: 156.2 seconds
Name: -, Instruction: Turn slight right, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
