Name: Oriole Parkway, Instruction: Head south on Oriole Parkway, Distance: 176.9 meters, Time: 127.4 seconds
Name: -, Instruction: Turn right, Distance: 155.7 meters, Time: 112.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 22.1 meters, Time: 15.9 seconds
Name: -, Instruction: Turn right, Distance: 19.5 meters, Time: 14.1 seconds
Name: -, Instruction: Turn left, Distance: 656.0 meters, Time: 472.3 seconds
Name: -, Instruction: Keep right, Distance: 17.6 meters, Time: 12.6 seconds
Name: -, Instruction: Keep right, Distance: 59.7 meters, Time: 43.0 seconds
Name: Kay Gardiner Beltline Trail, Instruction: Turn sharp right onto Kay Gardiner Beltline Trail, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 43.6 meters, Time: 31.4 seconds
Name: -, Instruction: Turn right, Distance: 104.9 meters, Time: 75.5 seconds
Name: -, Instruction: Keep right, Distance: 20.3 meters, Time: 14.6 seconds
Name: Forest Hill Road, Instruction: Turn sharp left onto Forest Hill Road, Distance: 236.0 meters, Time: 169.9 seconds
Name: -, Instruction: Arrive at Forest Hill Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
