Name: Rue Louise-Émilie de La Tour d'Auvergne, Instruction: Head west on Rue Louise-Émilie de La Tour d'Auvergne, Distance: 192.0 meters, Time: 138.3 seconds
Name: -, Instruction: Turn right, Distance: 44.9 meters, Time: 32.3 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: Rue des Martyrs, Instruction: Turn right onto Rue des Martyrs, Distance: 176.7 meters, Time: 127.3 seconds
Name: -, Instruction: Turn left, Distance: 18.0 meters, Time: 13.0 seconds
Name: -, Instruction: Turn right, Distance: 37.8 meters, Time: 27.2 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 158.5 meters, Time: 114.1 seconds
Name: -, Instruction: Keep right, Distance: 7.7 meters, Time: 5.6 seconds
Name: Rue des Abbesses, Instruction: Turn left onto Rue des Abbesses, Distance: 173.7 meters, Time: 125.1 seconds
Name: -, Instruction: Turn right, Distance: 43.2 meters, Time: 31.1 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.8 seconds
Name: Rue Ravignan, Instruction: Turn right onto Rue Ravignan, Distance: 3.6 meters, Time: 2.6 seconds
Name: Rue Durantin, Instruction: Turn left onto Rue Durantin, Distance: 222.0 meters, Time: 159.8 seconds
Name: -, Instruction: Turn right, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Keep right, Distance: 88.7 meters, Time: 63.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
