Name: Beech Road, Instruction: Head east on Beech Road, Distance: 204.8 meters, Time: 147.4 seconds
Name: -, Instruction: Turn right, Distance: 23.7 meters, Time: 17.1 seconds
Name: -, Instruction: Turn left, Distance: 35.9 meters, Time: 25.8 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 1015.6 meters, Time: 731.2 seconds
Name: -, Instruction: Turn left, Distance: 20.5 meters, Time: 14.8 seconds
Name: -, Instruction: Turn right, Distance: 40.6 meters, Time: 29.2 seconds
Name: Barcelona Drive, Instruction: Turn left onto Barcelona Drive, Distance: 183.3 meters, Time: 132.0 seconds
Name: Mahogany Street, Instruction: Turn right onto Mahogany Street, Distance: 115.5 meters, Time: 83.1 seconds
Name: Plane Street, Instruction: Turn right onto Plane Street, Distance: 113.3 meters, Time: 81.6 seconds
Name: -, Instruction: Arrive at Plane Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
