Name: Deodar Road, Instruction: Head northeast on Deodar Road, Distance: 8.8 meters, Time: 6.3 seconds
Name: Blade Mews, Instruction: Turn right onto Blade Mews, Distance: 50.9 meters, Time: 36.7 seconds
Name: -, Instruction: Turn left, Distance: 18.8 meters, Time: 13.6 seconds
Name: -, Instruction: Turn right, Distance: 39.1 meters, Time: 28.2 seconds
Name: -, Instruction: Keep left, Distance: 46.3 meters, Time: 33.4 seconds
Name: -, Instruction: Turn slight right, Distance: 694.8 meters, Time: 500.2 seconds
Name: -, Instruction: Keep right, Distance: 116.4 meters, Time: 83.8 seconds
Name: -, Instruction: Turn left, Distance: 26.1 meters, Time: 18.8 seconds
Name: -, Instruction: Turn right, Distance: 63.4 meters, Time: 45.6 seconds
Name: The Causeway, Instruction: Turn left onto The Causeway, Distance: 328.4 meters, Time: 236.5 seconds
Name: Waterside Path, Instruction: Turn left onto Waterside Path, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 250.8 meters, Time: 180.6 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: Marl Road, Instruction: Turn left onto Marl Road, Distance: 35.3 meters, Time: 25.4 seconds
Name: -, Instruction: Turn right, Distance: 9.0 meters, Time: 6.4 seconds
Name: -, Instruction: Turn left, Distance: 38.9 meters, Time: 28.0 seconds
Name: -, Instruction: Turn left, Distance: 38.6 meters, Time: 27.8 seconds
Name: -, Instruction: Turn right, Distance: 43.0 meters, Time: 30.9 seconds
Name: -, Instruction: Turn right, Distance: 78.5 meters, Time: 56.5 seconds
Name: -, Instruction: Turn left, Distance: 103.1 meters, Time: 74.2 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: York Road, A3205, Instruction: Turn left onto York Road, A3205, Distance: 11.9 meters, Time: 8.6 seconds
Name: Petergate, Instruction: Turn sharp right onto Petergate, Distance: 168.3 meters, Time: 121.2 seconds
Name: -, Instruction: Arrive at Petergate, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
