Name: Chemin des Gardes, Instruction: Head south on Chemin des Gardes, Distance: 188.0 meters, Time: 135.4 seconds
Name: Avenue Principale, Instruction: Turn sharp left onto Avenue Principale, Distance: 28.9 meters, Time: 20.8 seconds
Name: -, Instruction: Turn right, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Keep right, Distance: 24.4 meters, Time: 17.6 seconds
Name: Rue Caulaincourt, Instruction: Turn left onto Rue Caulaincourt, Distance: 4.9 meters, Time: 3.6 seconds
Name: Rue Caulaincourt, Instruction: Turn right onto Rue Caulaincourt, Distance: 8.6 meters, Time: 6.2 seconds
Name: Rue Caulaincourt, Instruction: Turn left onto Rue Caulaincourt, Distance: 94.7 meters, Time: 68.2 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 14.4 meters, Time: 10.4 seconds
Name: Passage de Clichy, Instruction: Turn right onto Passage de Clichy, Distance: 156.4 meters, Time: 112.6 seconds
Name: Passage Lathuille, Instruction: Turn right onto Passage Lathuille, Distance: 3.2 meters, Time: 2.3 seconds
Name: Passage Lathuille, Instruction: Turn left onto Passage Lathuille, Distance: 21.7 meters, Time: 15.7 seconds
Name: Rue Capron, Instruction: Turn left onto Rue Capron, Distance: 61.4 meters, Time: 44.2 seconds
Name: -, Instruction: Turn right, Distance: 16.3 meters, Time: 11.7 seconds
Name: Impasse de la Défense, Instruction: Turn right onto Impasse de la Défense, Distance: 81.8 meters, Time: 58.9 seconds
Name: -, Instruction: Turn right, Distance: 45.1 meters, Time: 32.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
