Name: Osborne Avenue, Instruction: Head north on Osborne Avenue, Distance: 157.3 meters, Time: 113.2 seconds
Name: -, Instruction: Turn right, Distance: 320.8 meters, Time: 231.0 seconds
Name: -, Instruction: Keep left, Distance: 225.7 meters, Time: 162.5 seconds
Name: -, Instruction: Turn slight right, Distance: 31.1 meters, Time: 22.4 seconds
Name: -, Instruction: Turn left, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn slight right, Distance: 93.8 meters, Time: 67.5 seconds
Name: -, Instruction: Keep right, Distance: 12.2 meters, Time: 8.7 seconds
Name: -, Instruction: Turn left, Distance: 39.3 meters, Time: 28.3 seconds
Name: Swanwick Avenue, Instruction: Turn right onto Swanwick Avenue, Distance: 454.0 meters, Time: 326.9 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn slight left, Distance: 72.3 meters, Time: 52.0 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: Blantyre Avenue, Instruction: Turn right onto Blantyre Avenue, Distance: 7.0 meters, Time: 5.0 seconds
Name: Parkland Road, Instruction: Turn left onto Parkland Road, Distance: 237.3 meters, Time: 170.9 seconds
Name: Clonmore Drive, Instruction: Turn left onto Clonmore Drive, Distance: 5.1 meters, Time: 3.6 seconds
Name: Clonmore Drive, Instruction: Continue straight onto Clonmore Drive, Distance: 207.0 meters, Time: 149.0 seconds
Name: -, Instruction: Arrive at Clonmore Drive, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
