Name: Terrasse des Feuillants, Instruction: Head northwest on Terrasse des Feuillants, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 16.3 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn left, Distance: 73.4 meters, Time: 52.9 seconds
Name: -, Instruction: Turn left, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 77.6 meters, Time: 55.8 seconds
Name: -, Instruction: Turn slight right, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 75.6 meters, Time: 54.4 seconds
Name: -, Instruction: Turn left, Distance: 114.7 meters, Time: 82.6 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Turn right, Distance: 1.6 meters, Time: 1.1 seconds
Name: -, Instruction: Turn left, Distance: 40.2 meters, Time: 28.9 seconds
Name: -, Instruction: Turn right, Distance: 141.9 meters, Time: 102.1 seconds
Name: -, Instruction: Turn left, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn slight right, Distance: 4.0 meters, Time: 2.9 seconds
Name: Rue d'Antin, Instruction: Turn left onto Rue d'Antin, Distance: 130.4 meters, Time: 93.9 seconds
Name: Rue Saint-Augustin, Instruction: Turn right onto Rue Saint-Augustin, Distance: 377.3 meters, Time: 271.6 seconds
Name: -, Instruction: Turn left, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn slight right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: Rue de Richelieu, Instruction: Turn left onto Rue de Richelieu, Distance: 109.3 meters, Time: 78.7 seconds
Name: Rue Feydeau, Instruction: Turn right onto Rue Feydeau, Distance: 259.8 meters, Time: 187.1 seconds
Name: -, Instruction: Turn left, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
