Name: Ang Mo Kio Avenue 6, Instruction: Head northwest on Ang Mo Kio Avenue 6, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn left, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Keep right, Distance: 41.8 meters, Time: 30.1 seconds
Name: -, Instruction: Turn right, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn left, Distance: 595.9 meters, Time: 429.0 seconds
Name: -, Instruction: Turn left, Distance: 27.4 meters, Time: 19.7 seconds
Name: -, Instruction: Turn slight right, Distance: 27.5 meters, Time: 19.8 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.1 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn left, Distance: 425.5 meters, Time: 306.4 seconds
Name: -, Instruction: Turn left, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Keep right, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Turn left, Distance: 30.8 meters, Time: 22.2 seconds
Name: -, Instruction: Turn right, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn right, Distance: 300.9 meters, Time: 216.6 seconds
Name: Thomson Hills Drive, Instruction: Turn left onto Thomson Hills Drive, Distance: 303.6 meters, Time: 218.6 seconds
Name: -, Instruction: Turn right, Distance: 285.7 meters, Time: 205.7 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: Thomson Hill, Instruction: Turn right onto Thomson Hill, Distance: 374.9 meters, Time: 270.0 seconds
Name: -, Instruction: Arrive at Thomson Hill, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
