Name: Rue Jean Jaurès, Instruction: Head southwest on Rue Jean Jaurès, Distance: 83.6 meters, Time: 60.2 seconds
Name: -, Instruction: Turn left, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 130.5 meters, Time: 93.9 seconds
Name: -, Instruction: Turn left, Distance: 80.7 meters, Time: 58.1 seconds
Name: -, Instruction: Turn right, Distance: 10.8 meters, Time: 7.8 seconds
Name: Rue du Président Wilson, Instruction: Turn left onto Rue du Président Wilson, Distance: 12.2 meters, Time: 8.8 seconds
Name: Rue de Courcelles, Instruction: Continue straight onto Rue de Courcelles, Distance: 187.1 meters, Time: 134.7 seconds
Name: -, Instruction: Turn right, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Turn left, Distance: 19.8 meters, Time: 14.2 seconds
Name: -, Instruction: Turn right, Distance: 7.4 meters, Time: 5.4 seconds
Name: -, Instruction: Turn left, Distance: 10.0 meters, Time: 7.2 seconds
Name: Allée Myriam Monsonégo, Instruction: Keep right onto Allée Myriam Monsonégo, Distance: 141.9 meters, Time: 102.2 seconds
Name: -, Instruction: Turn right, Distance: 58.5 meters, Time: 42.1 seconds
Name: Rue Jean Moréas, Instruction: Turn left onto Rue Jean Moréas, Distance: 11.7 meters, Time: 8.4 seconds
Name: Avenue Stéphane Mallarmé, Instruction: Turn slight right onto Avenue Stéphane Mallarmé, Distance: 33.1 meters, Time: 23.8 seconds
Name: -, Instruction: Turn left, Distance: 16.1 meters, Time: 11.6 seconds
Name: Avenue Stéphane Mallarmé, Instruction: Turn right onto Avenue Stéphane Mallarmé, Distance: 83.7 meters, Time: 60.3 seconds
Name: Rue Descombes, Instruction: Keep left onto Rue Descombes, Distance: 4.2 meters, Time: 3.1 seconds
Name: Rue Descombes, Instruction: Continue straight onto Rue Descombes, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 63.0 meters, Time: 45.4 seconds
Name: -, Instruction: Turn slight right, Distance: 12.3 meters, Time: 8.9 seconds
Name: -, Instruction: Turn slight right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Keep left, Distance: 108.6 meters, Time: 78.2 seconds
Name: -, Instruction: Turn slight left, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn right, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 1.9 meters, Time: 1.3 seconds
Name: -, Instruction: Turn left, Distance: 114.3 meters, Time: 82.3 seconds
Name: -, Instruction: Turn right, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 123.8 meters, Time: 89.1 seconds
Name: -, Instruction: Turn right, Distance: 126.8 meters, Time: 91.3 seconds
Name: -, Instruction: Turn left, Distance: 42.9 meters, Time: 30.9 seconds
Name: -, Instruction: Turn right, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn slight right, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Turn slight left, Distance: 122.4 meters, Time: 88.1 seconds
Name: -, Instruction: Turn left, Distance: 2.0 meters, Time: 1.5 seconds
Name: -, Instruction: Turn right, Distance: 32.9 meters, Time: 23.7 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 77.3 meters, Time: 55.6 seconds
Name: -, Instruction: Turn right, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn left, Distance: 42.5 meters, Time: 30.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
