Name: Avenue Transversale, Instruction: Head northeast on Avenue Transversale, Distance: 37.1 meters, Time: 26.7 seconds
Name: Rue Claude Lorrain, Instruction: Turn right onto Rue Claude Lorrain, Distance: 205.0 meters, Time: 147.6 seconds
Name: Rue Boileau, Instruction: Turn left onto Rue Boileau, Distance: 10.1 meters, Time: 7.3 seconds
Name: Rue Charles Marie Widor, Instruction: Turn right onto Rue Charles Marie Widor, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 65.5 meters, Time: 47.2 seconds
Name: -, Instruction: Turn right, Distance: 13.4 meters, Time: 9.7 seconds
Name: -, Instruction: Turn left, Distance: 47.9 meters, Time: 34.5 seconds
Name: -, Instruction: Turn right, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn slight right, Distance: 87.6 meters, Time: 63.1 seconds
Name: -, Instruction: Turn slight left, Distance: 30.0 meters, Time: 21.6 seconds
Name: Boulevard Exelmans, Instruction: Turn right onto Boulevard Exelmans, Distance: 39.8 meters, Time: 28.7 seconds
Name: Boulevard Exelmans, Instruction: Continue straight onto Boulevard Exelmans, Distance: 27.6 meters, Time: 19.9 seconds
Name: -, Instruction: Turn right, Distance: 133.5 meters, Time: 96.1 seconds
Name: -, Instruction: Turn slight right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 198.6 meters, Time: 143.0 seconds
Name: Quai André Citroën, Instruction: Turn left onto Quai André Citroën, Distance: 186.1 meters, Time: 134.0 seconds
Name: Quai André Citroën, Instruction: Keep left onto Quai André Citroën, Distance: 16.6 meters, Time: 12.0 seconds
Name: Port de Javel, Instruction: Turn slight left onto Port de Javel, Distance: 202.3 meters, Time: 145.7 seconds
Name: -, Instruction: Turn right, Distance: 27.9 meters, Time: 20.1 seconds
Name: -, Instruction: Turn left, Distance: 64.2 meters, Time: 46.2 seconds
Name: -, Instruction: Turn left, Distance: 23.3 meters, Time: 16.8 seconds
Name: -, Instruction: Turn right, Distance: 125.0 meters, Time: 90.0 seconds
Name: -, Instruction: Turn left, Distance: 46.8 meters, Time: 33.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
