Name: Lordsmead Road, Instruction: Head south on Lordsmead Road, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 693.4 meters, Time: 499.2 seconds
Name: -, Instruction: Continue straight, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Continue straight, Distance: 297.7 meters, Time: 214.3 seconds
Name: -, Instruction: Turn slight left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 41.1 meters, Time: 29.6 seconds
Name: -, Instruction: Turn right, Distance: 63.5 meters, Time: 45.7 seconds
Name: -, Instruction: Turn right, Distance: 428.1 meters, Time: 308.2 seconds
Name: -, Instruction: Keep left, Distance: 127.2 meters, Time: 91.6 seconds
Name: -, Instruction: Keep left, Distance: 196.8 meters, Time: 141.7 seconds
Name: -, Instruction: Keep left, Distance: 102.7 meters, Time: 74.0 seconds
Name: -, Instruction: Keep left, Distance: 1.0 meters, Time: 0.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
