Name: Winnett Avenue, Instruction: Head south on Winnett Avenue, Distance: 0.0 meters, Time: 0.0 seconds
Name: -, Instruction: Turn left, Distance: 287.8 meters, Time: 207.2 seconds
Name: -, Instruction: Turn right, Distance: 33.5 meters, Time: 24.1 seconds
Name: Owen Weinstein Lane, Instruction: Turn left onto Owen Weinstein Lane, Distance: 80.9 meters, Time: 58.3 seconds
Name: -, Instruction: Turn right, Distance: 199.7 meters, Time: 143.8 seconds
Name: -, Instruction: Turn slight left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Keep right, Distance: 6.1 meters, Time: 4.4 seconds
Name: Dewbourne Avenue, Instruction: Turn left onto Dewbourne Avenue, Distance: 66.2 meters, Time: 47.7 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 85.9 meters, Time: 61.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
