Name: Stegmairstraße, Instruction: Head west on Stegmairstraße, Distance: 44.5 meters, Time: 32.1 seconds
Name: Hubertusstraße, Instruction: Turn right onto Hubertusstraße, Distance: 98.9 meters, Time: 71.2 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 16.2 meters, Time: 11.7 seconds
Name: Waldhornstraße, Instruction: Turn left onto Waldhornstraße, Distance: 182.7 meters, Time: 131.5 seconds
Name: Waldhornstraße, Instruction: Turn right onto Waldhornstraße, Distance: 41.4 meters, Time: 29.8 seconds
Name: Waldhornstraße, Instruction: Turn left onto Waldhornstraße, Distance: 204.7 meters, Time: 147.4 seconds
Name: Försterweg, Instruction: Turn right onto Försterweg, Distance: 29.4 meters, Time: 21.2 seconds
Name: Försterweg, Instruction: Turn left onto Försterweg, Distance: 21.9 meters, Time: 15.8 seconds
Name: Landsberger Straße, Instruction: Turn left onto Landsberger Straße, Distance: 62.3 meters, Time: 44.9 seconds
Name: -, Instruction: Continue straight, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Turn right, Distance: 20.5 meters, Time: 14.7 seconds
Name: -, Instruction: Turn left, Distance: 380.2 meters, Time: 273.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 63.7 meters, Time: 45.9 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 144.9 meters, Time: 104.3 seconds
Name: Max-Reger-Straße, Instruction: Turn slight left onto Max-Reger-Straße, Distance: 150.2 meters, Time: 108.1 seconds
Name: -, Instruction: Turn right, Distance: 121.9 meters, Time: 87.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
