Name: Malcolm Place, Instruction: Head northeast on Malcolm Place, Distance: 138.4 meters, Time: 99.7 seconds
Name: Wedgwood Avenue, Instruction: Turn right onto Wedgwood Avenue, Distance: 156.1 meters, Time: 112.4 seconds
Name: Hallberry Road, Instruction: Turn sharp right onto Hallberry Road, Distance: 320.8 meters, Time: 231.0 seconds
Name: -, Instruction: Turn left, Distance: 167.5 meters, Time: 120.6 seconds
Name: -, Instruction: Turn slight right, Distance: 70.4 meters, Time: 50.7 seconds
Name: -, Instruction: Turn right, Distance: 28.0 meters, Time: 20.2 seconds
Name: Massey Road, 14, Instruction: Turn right onto Massey Road, 14, Distance: 69.7 meters, Time: 50.2 seconds
Name: -, Instruction: Turn left, Distance: 88.6 meters, Time: 63.8 seconds
Name: -, Instruction: Turn right, Distance: 82.3 meters, Time: 59.3 seconds
Name: Yates Road, Instruction: Turn left onto Yates Road, Distance: 98.0 meters, Time: 70.6 seconds
Name: Growers Lane, Instruction: Turn left onto Growers Lane, Distance: 261.3 meters, Time: 188.1 seconds
Name: -, Instruction: Continue straight, Distance: 62.0 meters, Time: 44.7 seconds
Name: -, Instruction: Turn slight right, Distance: 74.5 meters, Time: 53.6 seconds
Name: Royton Avenue, Instruction: Turn left onto Royton Avenue, Distance: 224.4 meters, Time: 161.6 seconds
Name: Buckland Road, Instruction: Turn right onto Buckland Road, Distance: 110.3 meters, Time: 79.4 seconds
Name: -, Instruction: Turn right, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 315.9 meters, Time: 227.5 seconds
Name: -, Instruction: Keep right, Distance: 19.7 meters, Time: 14.2 seconds
Name: -, Instruction: Continue straight, Distance: 46.0 meters, Time: 33.2 seconds
Name: Wickman Way, Instruction: Turn right onto Wickman Way, Distance: 173.4 meters, Time: 124.8 seconds
Name: Garus Avenue, Instruction: Turn left onto Garus Avenue, Distance: 24.5 meters, Time: 17.6 seconds
Name: Garus Avenue, Instruction: Turn slight left onto Garus Avenue, Distance: 51.9 meters, Time: 37.4 seconds
Name: -, Instruction: Arrive at Garus Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
