Name: Bega Street, Instruction: Head southwest on Bega Street, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 72.8 meters, Time: 52.4 seconds
Name: -, Instruction: Keep left, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 116.3 meters, Time: 83.7 seconds
Name: -, Instruction: Turn right, Distance: 196.1 meters, Time: 141.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 26.3 meters, Time: 19.0 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: Richmond Rd Shared Path, Instruction: Turn slight left onto Richmond Rd Shared Path, Distance: 1090.2 meters, Time: 784.9 seconds
Name: Richmond Rd Shared Path, Instruction: Turn slight right onto Richmond Rd Shared Path, Distance: 354.9 meters, Time: 255.5 seconds
Name: -, Instruction: Turn left, Distance: 84.8 meters, Time: 61.0 seconds
Name: -, Instruction: Turn right, Distance: 296.3 meters, Time: 213.3 seconds
Name: -, Instruction: Turn left, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn left, Distance: 51.7 meters, Time: 37.2 seconds
Name: -, Instruction: Turn right, Distance: 39.6 meters, Time: 28.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
