Name: East Lane, Instruction: Head south on East Lane, Distance: 132.6 meters, Time: 95.5 seconds
Name: King Street, Instruction: Turn right onto King Street, Distance: 45.9 meters, Time: 33.1 seconds
Name: -, Instruction: Turn left, Distance: 100.3 meters, Time: 72.2 seconds
Name: -, Instruction: Turn right, Distance: 19.8 meters, Time: 14.3 seconds
Name: -, Instruction: Turn left, Distance: 29.2 meters, Time: 21.0 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.9 seconds
Name: -, Instruction: Turn left, Distance: 347.7 meters, Time: 250.4 seconds
Name: -, Instruction: Turn left, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 519.3 meters, Time: 373.9 seconds
Name: -, Instruction: Turn left, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
