Name: Pasillo B, Instruction: Head west on Pasillo B, Distance: 36.2 meters, Time: 26.1 seconds
Name: Pasillo 5, Instruction: Turn left onto Pasillo 5, Distance: 40.4 meters, Time: 29.1 seconds
Name: Pasillo D, Instruction: Turn right onto Pasillo D, Distance: 59.8 meters, Time: 43.1 seconds
Name: -, Instruction: Turn left, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 138.8 meters, Time: 100.0 seconds
Name: Avenida Balderas, Instruction: Turn left onto Avenida Balderas, Distance: 402.7 meters, Time: 289.9 seconds
Name: Calle Independencia, Instruction: Turn right onto Calle Independencia, Distance: 75.0 meters, Time: 54.0 seconds
Name: Calle Azueta, Instruction: Turn left onto Calle Azueta, Distance: 164.6 meters, Time: 118.5 seconds
Name: Avenida Juárez, Instruction: Turn right onto Avenida Juárez, Distance: 27.6 meters, Time: 19.9 seconds
Name: Calle Doctor Mora, Instruction: Turn left onto Calle Doctor Mora, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 11.9 meters, Time: 8.6 seconds
Name: -, Instruction: Turn left, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Turn left, Distance: 89.0 meters, Time: 64.1 seconds
Name: -, Instruction: Turn right, Distance: 30.0 meters, Time: 21.6 seconds
Name: -, Instruction: Turn right, Distance: 84.2 meters, Time: 60.7 seconds
Name: -, Instruction: Turn right, Distance: 48.3 meters, Time: 34.8 seconds
Name: -, Instruction: Turn right, Distance: 82.2 meters, Time: 59.2 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn slight right, Distance: 24.1 meters, Time: 17.3 seconds
Name: -, Instruction: Turn left, Distance: 75.8 meters, Time: 54.6 seconds
Name: -, Instruction: Turn left, Distance: 19.8 meters, Time: 14.2 seconds
Name: -, Instruction: Turn left, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Turn left, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn left, Distance: 33.3 meters, Time: 24.0 seconds
Name: -, Instruction: Turn right, Distance: 85.4 meters, Time: 61.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
