Name: Woodchip Path, Instruction: Head north on Woodchip Path, Distance: 89.8 meters, Time: 64.6 seconds
Name: Riverdale Trail, Instruction: Turn slight left onto Riverdale Trail, Distance: 448.7 meters, Time: 323.0 seconds
Name: Riverdale Trail, Instruction: Keep right onto Riverdale Trail, Distance: 191.5 meters, Time: 137.9 seconds
Name: -, Instruction: Keep left, Distance: 32.2 meters, Time: 23.2 seconds
Name: -, Instruction: Keep right, Distance: 35.0 meters, Time: 25.2 seconds
Name: -, Instruction: Turn right, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Keep left, Distance: 16.9 meters, Time: 12.2 seconds
Name: Riverdale Trail, Instruction: Turn slight left onto Riverdale Trail, Distance: 28.7 meters, Time: 20.7 seconds
Name: -, Instruction: Turn left, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn right, Distance: 20.2 meters, Time: 14.5 seconds
Name: Riverdale Trail, Instruction: Turn slight left onto Riverdale Trail, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 61.4 meters, Time: 44.2 seconds
Name: -, Instruction: Turn left, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Keep right, Distance: 523.0 meters, Time: 376.6 seconds
Name: -, Instruction: Keep left, Distance: 107.3 meters, Time: 77.3 seconds
Name: -, Instruction: Keep left, Distance: 114.0 meters, Time: 82.1 seconds
Name: -, Instruction: Keep left, Distance: 108.6 meters, Time: 78.2 seconds
Name: -, Instruction: Keep left, Distance: 151.3 meters, Time: 108.9 seconds
Name: -, Instruction: Turn right, Distance: 102.5 meters, Time: 73.8 seconds
Name: -, Instruction: Turn left, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn slight right, Distance: 7.7 meters, Time: 5.6 seconds
Name: -, Instruction: Keep right, Distance: 7.3 meters, Time: 5.2 seconds
Name: Burley Avenue, Instruction: Turn left onto Burley Avenue, Distance: 85.0 meters, Time: 61.2 seconds
Name: Floyd Avenue, Instruction: Turn right onto Floyd Avenue, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 83.5 meters, Time: 60.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
