Name: Kanarie Road, Instruction: Head southwest on Kanarie Road, Distance: 28.1 meters, Time: 20.2 seconds
Name: Lansdowne Road, Instruction: Turn left onto Lansdowne Road, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 63.2 meters, Time: 45.5 seconds
Name: Lansdowne Road, Instruction: Turn right onto Lansdowne Road, Distance: 112.9 meters, Time: 81.3 seconds
Name: Derby Road, Instruction: Turn right onto Derby Road, Distance: 139.5 meters, Time: 100.4 seconds
Name: Rompe Street, Instruction: Turn left onto Rompe Street, Distance: 133.2 meters, Time: 95.9 seconds
Name: Walnut Road, Instruction: Turn left onto Walnut Road, Distance: 3.7 meters, Time: 2.6 seconds
Name: Walnut Road, Instruction: Keep right onto Walnut Road, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 42.1 meters, Time: 30.3 seconds
Name: Lansdowne Road, Instruction: Turn right onto Lansdowne Road, Distance: 77.3 meters, Time: 55.6 seconds
Name: Mellheim Road, Instruction: Turn left onto Mellheim Road, Distance: 165.9 meters, Time: 119.4 seconds
Name: Blomvlei Road, Instruction: Turn right onto Blomvlei Road, Distance: 66.0 meters, Time: 47.5 seconds
Name: -, Instruction: Turn left, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 98.2 meters, Time: 70.7 seconds
Name: Polaris Road, Instruction: Turn sharp right onto Polaris Road, Distance: 32.5 meters, Time: 23.4 seconds
Name: Blomvlei Road, Instruction: Turn left onto Blomvlei Road, Distance: 101.1 meters, Time: 72.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn right, Distance: 57.1 meters, Time: 41.1 seconds
Name: -, Instruction: Turn right, Distance: 16.5 meters, Time: 11.9 seconds
Name: -, Instruction: Turn right, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
