Name: The Link, Instruction: Head northwest on The Link, Distance: 118.7 meters, Time: 85.5 seconds
Name: Priestley Way, Instruction: Turn slight right onto Priestley Way, Distance: 77.6 meters, Time: 55.9 seconds
Name: Priestley Way, Instruction: Keep right onto Priestley Way, Distance: 34.0 meters, Time: 24.5 seconds
Name: -, Instruction: Turn right, Distance: 45.9 meters, Time: 33.0 seconds
Name: -, Instruction: Turn left, Distance: 26.5 meters, Time: 19.1 seconds
Name: Edgware Road, Instruction: Turn left onto Edgware Road, Distance: 83.7 meters, Time: 60.2 seconds
Name: -, Instruction: Turn right, Distance: 7.6 meters, Time: 5.4 seconds
Name: -, Instruction: Turn left, Distance: 51.3 meters, Time: 37.0 seconds
Name: Brent Park Road, Instruction: Turn right onto Brent Park Road, Distance: 202.5 meters, Time: 145.8 seconds
Name: Dallas Road, Instruction: Turn right onto Dallas Road, Distance: 369.9 meters, Time: 266.3 seconds
Name: -, Instruction: Turn right, Distance: 35.4 meters, Time: 25.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
