Name: Lechelstraße, Instruction: Head west on Lechelstraße, Distance: 294.3 meters, Time: 211.9 seconds
Name: Ernst-von-Romberg-Straße, Instruction: Turn right onto Ernst-von-Romberg-Straße, Distance: 137.0 meters, Time: 98.7 seconds
Name: Haldenbergerstraße, Instruction: Turn left onto Haldenbergerstraße, Distance: 154.4 meters, Time: 111.2 seconds
Name: Finsterwalderstraße, Instruction: Keep right onto Finsterwalderstraße, Distance: 691.1 meters, Time: 497.6 seconds
Name: Megerlestraße, Instruction: Turn sharp right onto Megerlestraße, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 85.8 meters, Time: 61.7 seconds
Name: -, Instruction: Turn left, Distance: 97.5 meters, Time: 70.2 seconds
Name: -, Instruction: Turn right, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 14.1 meters, Time: 10.2 seconds
Name: Bauseweinallee, Instruction: Turn slight left onto Bauseweinallee, Distance: 18.0 meters, Time: 13.0 seconds
Name: -, Instruction: Turn right, Distance: 322.8 meters, Time: 232.4 seconds
Name: -, Instruction: Turn right, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Keep left, Distance: 191.3 meters, Time: 137.7 seconds
Name: -, Instruction: Turn slight left, Distance: 142.6 meters, Time: 102.7 seconds
Name: -, Instruction: Keep left, Distance: 26.2 meters, Time: 18.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
