Name: Claremont Street, Instruction: Head south on Claremont Street, Distance: 82.4 meters, Time: 59.3 seconds
Name: -, Instruction: Keep left, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 72.8 meters, Time: 52.4 seconds
Name: -, Instruction: Turn left, Distance: 447.7 meters, Time: 322.3 seconds
Name: -, Instruction: Turn left, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn right, Distance: 212.9 meters, Time: 153.3 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn left, Distance: 1173.8 meters, Time: 845.1 seconds
Name: -, Instruction: Turn right, Distance: 88.4 meters, Time: 63.7 seconds
Name: -, Instruction: Turn left, Distance: 305.2 meters, Time: 219.7 seconds
Name: Richmond Adelaide Centre Courtyard, Instruction: Turn right onto Richmond Adelaide Centre Courtyard, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 42.0 meters, Time: 30.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
