Name: Randolph Gardens, Instruction: Head southeast on Randolph Gardens, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 121.9 meters, Time: 87.8 seconds
Name: -, Instruction: Turn right, Distance: 20.5 meters, Time: 14.8 seconds
Name: -, Instruction: Turn right, Distance: 68.7 meters, Time: 49.5 seconds
Name: Rudolph Road, Instruction: Turn right onto Rudolph Road, Distance: 18.5 meters, Time: 13.3 seconds
Name: Cambridge Gardens, Instruction: Turn left onto Cambridge Gardens, Distance: 54.1 meters, Time: 39.0 seconds
Name: Princess Road, Instruction: Continue straight onto Princess Road, Distance: 313.7 meters, Time: 225.9 seconds
Name: Granville Road, Instruction: Turn right onto Granville Road, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 81.3 meters, Time: 58.5 seconds
Name: Canterbury Road, Instruction: Turn left onto Canterbury Road, Distance: 116.7 meters, Time: 84.0 seconds
Name: -, Instruction: Continue straight, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Keep right, Distance: 119.9 meters, Time: 86.4 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: Kilburn Lane, B413, Instruction: Turn right onto Kilburn Lane, B413, Distance: 34.7 meters, Time: 25.0 seconds
Name: -, Instruction: Turn right, Distance: 20.2 meters, Time: 14.5 seconds
Name: -, Instruction: Turn right, Distance: 62.1 meters, Time: 44.7 seconds
Name: -, Instruction: Turn slight right, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn slight left, Distance: 6.3 meters, Time: 4.5 seconds
Name: Premier Corner, Instruction: Turn right onto Premier Corner, Distance: 14.4 meters, Time: 10.4 seconds
Name: Salusbury Road, Instruction: Turn slight left onto Salusbury Road, Distance: 563.7 meters, Time: 405.8 seconds
Name: Brooksville Avenue, Instruction: Turn left onto Brooksville Avenue, Distance: 94.6 meters, Time: 68.1 seconds
Name: Carlisle Road, Instruction: Turn right onto Carlisle Road, Distance: 71.1 meters, Time: 51.2 seconds
Name: -, Instruction: Arrive at Carlisle Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
