Name: Werner-Heisenberg-Allee, Instruction: Head southeast on Werner-Heisenberg-Allee, Distance: 13.1 meters, Time: 9.5 seconds
Name: -, Instruction: Keep right, Distance: 274.8 meters, Time: 197.8 seconds
Name: -, Instruction: Turn right, Distance: 496.6 meters, Time: 357.6 seconds
Name: -, Instruction: Turn right, Distance: 225.0 meters, Time: 162.0 seconds
Name: Kurt-Landauer-Weg, Instruction: Turn left onto Kurt-Landauer-Weg, Distance: 200.7 meters, Time: 144.5 seconds
Name: -, Instruction: Turn right, Distance: 395.7 meters, Time: 284.9 seconds
Name: Kurt-Landauer-Weg, Instruction: Continue straight onto Kurt-Landauer-Weg, Distance: 10.4 meters, Time: 7.5 seconds
Name: Lottlisa-Behling-Weg, Instruction: Turn left onto Lottlisa-Behling-Weg, Distance: 569.3 meters, Time: 409.9 seconds
Name: -, Instruction: Turn right, Distance: 88.4 meters, Time: 63.7 seconds
Name: -, Instruction: Turn left, Distance: 17.8 meters, Time: 12.8 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
