Name: شارع البلبيسي, Instruction: Head east on شارع البلبيسي, Distance: 226.5 meters, Time: 163.1 seconds
Name: شارع المعز لدين الله, Instruction: Turn left onto شارع المعز لدين الله, Distance: 81.8 meters, Time: 58.9 seconds
Name: شارع اسماء فهمى, Instruction: Turn right onto شارع اسماء فهمى, Distance: 251.7 meters, Time: 181.2 seconds
Name: -, Instruction: Turn right, Distance: 64.2 meters, Time: 46.2 seconds
Name: -, Instruction: Turn left, Distance: 118.7 meters, Time: 85.5 seconds
Name: شارع النزهه, Instruction: Turn right onto شارع النزهه, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 18.2 meters, Time: 13.1 seconds
Name: شارع النزهه, Instruction: Turn left onto شارع النزهه, Distance: 56.4 meters, Time: 40.6 seconds
Name: شارع حسن افلاطون, Instruction: Turn right onto شارع حسن افلاطون, Distance: 24.2 meters, Time: 17.5 seconds
Name: -, Instruction: Turn left, Distance: 10.8 meters, Time: 7.8 seconds
Name: شارع حسن افلاطون, Instruction: Turn right onto شارع حسن افلاطون, Distance: 55.2 meters, Time: 39.7 seconds
Name: شارع محمود طارق, Instruction: Turn left onto شارع محمود طارق, Distance: 70.8 meters, Time: 50.9 seconds
Name: شارع الرحاله البغدادي, Instruction: Turn right onto شارع الرحاله البغدادي, Distance: 389.0 meters, Time: 280.1 seconds
Name: شارع حسن افلاطون, Instruction: Turn left onto شارع حسن افلاطون, Distance: 11.7 meters, Time: 8.4 seconds
Name: شارع الثورة, Instruction: Turn right onto شارع الثورة, Distance: 189.5 meters, Time: 136.5 seconds
Name: شارع حسن افلاطون, Instruction: Turn left onto شارع حسن افلاطون, Distance: 105.0 meters, Time: 75.6 seconds
Name: شارع عمر بن الخطاب, Instruction: Turn right onto شارع عمر بن الخطاب, Distance: 226.0 meters, Time: 162.7 seconds
Name: -, Instruction: Turn right, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Turn left, Distance: 41.7 meters, Time: 30.1 seconds
Name: -, Instruction: Turn left, Distance: 19.7 meters, Time: 14.2 seconds
Name: شارع عمر بن الخطاب, Instruction: Turn right onto شارع عمر بن الخطاب, Distance: 143.4 meters, Time: 103.2 seconds
Name: شارع فاطمه بنت مبارك, Instruction: Turn sharp right onto شارع فاطمه بنت مبارك, Distance: 47.8 meters, Time: 34.4 seconds
Name: -, Instruction: Turn left, Distance: 85.1 meters, Time: 61.3 seconds
Name: -, Instruction: Turn left, Distance: 10.5 meters, Time: 7.5 seconds
Name: -, Instruction: Turn left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
