Name: 中央通り, Instruction: Head northwest on 中央通り, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn right, Distance: 49.7 meters, Time: 35.8 seconds
Name: -, Instruction: Turn left, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn right, Distance: 47.8 meters, Time: 34.4 seconds
Name: -, Instruction: Turn left, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn right, Distance: 48.5 meters, Time: 34.9 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: いちょう通り, Instruction: Turn right onto いちょう通り, Distance: 29.0 meters, Time: 20.9 seconds
Name: -, Instruction: Turn left, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Keep left, Distance: 15.9 meters, Time: 11.4 seconds
Name: -, Instruction: Turn right, Distance: 182.4 meters, Time: 131.3 seconds
Name: -, Instruction: Turn left, Distance: 16.2 meters, Time: 11.6 seconds
Name: -, Instruction: Turn right, Distance: 26.7 meters, Time: 19.2 seconds
Name: -, Instruction: Turn left, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn right, Distance: 67.7 meters, Time: 48.7 seconds
Name: -, Instruction: Turn left, Distance: 41.8 meters, Time: 30.1 seconds
Name: -, Instruction: Turn right, Distance: 45.3 meters, Time: 32.6 seconds
Name: -, Instruction: Turn right, Distance: 93.9 meters, Time: 67.6 seconds
Name: -, Instruction: Turn left, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn right, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
