Name: Colleen Way, Instruction: Head southeast on Colleen Way, Distance: 135.7 meters, Time: 97.7 seconds
Name: Emerald Way, Instruction: Turn left onto Emerald Way, Distance: 90.7 meters, Time: 65.3 seconds
Name: Summer Greens Drive, Instruction: Turn left onto Summer Greens Drive, Distance: 73.7 meters, Time: 53.1 seconds
Name: Summer Greens Drive, Instruction: Enter the roundabout and take the 1st exit onto Summer Greens Drive, Distance: 145.0 meters, Time: 104.4 seconds
Name: -, Instruction: Keep right, Distance: 61.6 meters, Time: 44.3 seconds
Name: -, Instruction: Turn left, Distance: 286.8 meters, Time: 206.5 seconds
Name: Station Road, Instruction: Turn sharp right onto Station Road, Distance: 313.7 meters, Time: 225.8 seconds
Name: Railway Road, Instruction: Turn left onto Railway Road, Distance: 202.8 meters, Time: 146.0 seconds
Name: Montague Drive, Instruction: Turn right onto Montague Drive, Distance: 148.5 meters, Time: 106.9 seconds
Name: -, Instruction: Turn left, Distance: 12.4 meters, Time: 8.9 seconds
Name: Montague Drive, Instruction: Turn right onto Montague Drive, Distance: 273.3 meters, Time: 196.7 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 44.2 meters, Time: 31.8 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 111.4 meters, Time: 80.2 seconds
Name: -, Instruction: Enter the roundabout and take the 2nd exit, Distance: 86.2 meters, Time: 62.1 seconds
Name: -, Instruction: Enter the roundabout and take the 1st exit, Distance: 86.8 meters, Time: 62.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
