Name: Lorong 27A Geylang, Instruction: Head north on Lorong 27A Geylang, Distance: 595.0 meters, Time: 428.4 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 73.2 meters, Time: 52.7 seconds
Name: -, Instruction: Turn right, Distance: 96.0 meters, Time: 69.1 seconds
Name: -, Instruction: Turn left, Distance: 180.7 meters, Time: 130.1 seconds
Name: -, Instruction: Turn left, Distance: 31.1 meters, Time: 22.4 seconds
Name: -, Instruction: Turn right, Distance: 34.4 meters, Time: 24.8 seconds
Name: -, Instruction: Turn left, Distance: 97.8 meters, Time: 70.4 seconds
Name: -, Instruction: Turn left, Distance: 46.3 meters, Time: 33.4 seconds
Name: -, Instruction: Turn right, Distance: 72.3 meters, Time: 52.1 seconds
Name: -, Instruction: Turn left, Distance: 108.6 meters, Time: 78.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
