Name: Windsor Road, Instruction: Head north on Windsor Road, Distance: 144.6 meters, Time: 104.1 seconds
Name: -, Instruction: Turn left, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Turn right, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Turn left, Distance: 52.4 meters, Time: 37.7 seconds
Name: Second Avenue, Instruction: Turn right onto Second Avenue, Distance: 436.3 meters, Time: 314.1 seconds
Name: Robert Street, Instruction: Turn right onto Robert Street, Distance: 52.9 meters, Time: 38.1 seconds
Name: Warrane Road, Instruction: Turn left onto Warrane Road, Distance: 334.8 meters, Time: 241.1 seconds
Name: Warrane Road, Instruction: Enter the roundabout and take the 2nd exit onto Warrane Road, Distance: 641.8 meters, Time: 462.1 seconds
Name: Warrane Road, Instruction: Enter the roundabout and take the 2nd exit onto Warrane Road, Distance: 135.6 meters, Time: 97.7 seconds
Name: -, Instruction: Turn right, Distance: 138.1 meters, Time: 99.4 seconds
Name: -, Instruction: Turn left, Distance: 117.4 meters, Time: 84.5 seconds
Name: -, Instruction: Turn right, Distance: 8.8 meters, Time: 6.3 seconds
Name: Eastern Valley Way, Instruction: Turn left onto Eastern Valley Way, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
