Name: Hanikura Street, Instruction: Head south on Hanikura Street, Distance: 145.4 meters, Time: 104.7 seconds
Name: Longshore Drive, Instruction: Turn right onto Longshore Drive, Distance: 254.5 meters, Time: 183.2 seconds
Name: -, Instruction: Turn left, Distance: 18.7 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 160.0 meters, Time: 115.2 seconds
Name: -, Instruction: Keep right, Distance: 80.2 meters, Time: 57.7 seconds
Name: -, Instruction: Continue straight, Distance: 42.1 meters, Time: 30.3 seconds
Name: -, Instruction: Turn right, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn left, Distance: 202.2 meters, Time: 145.5 seconds
Name: -, Instruction: Keep right, Distance: 164.5 meters, Time: 118.5 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Continue straight, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Turn right, Distance: 44.1 meters, Time: 31.8 seconds
Name: -, Instruction: Turn left, Distance: 18.3 meters, Time: 13.2 seconds
Name: Killick Place, Instruction: Turn left onto Killick Place, Distance: 15.2 meters, Time: 11.0 seconds
Name: Killick Place, Instruction: Turn right onto Killick Place, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Arrive at Killick Place, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
