Name: Lennox Street, Instruction: Head west on Lennox Street, Distance: 59.9 meters, Time: 43.1 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.1 seconds
Name: -, Instruction: Turn left, Distance: 43.7 meters, Time: 31.4 seconds
Name: -, Instruction: Keep left, Distance: 103.1 meters, Time: 74.3 seconds
Name: -, Instruction: Turn right, Distance: 128.5 meters, Time: 92.6 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn slight right, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn slight left, Distance: 216.4 meters, Time: 155.8 seconds
Name: -, Instruction: Turn right, Distance: 19.4 meters, Time: 14.0 seconds
Name: -, Instruction: Turn left, Distance: 176.9 meters, Time: 127.4 seconds
Name: -, Instruction: Turn right, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn slight left, Distance: 83.4 meters, Time: 60.0 seconds
Name: -, Instruction: Keep right, Distance: 118.7 meters, Time: 85.5 seconds
Name: -, Instruction: Turn left, Distance: 79.7 meters, Time: 57.4 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: Crawford Street, Instruction: Turn right onto Crawford Street, Distance: 80.1 meters, Time: 57.7 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 46.3 meters, Time: 33.4 seconds
Name: Sandra Shamas Lane, Instruction: Turn right onto Sandra Shamas Lane, Distance: 62.6 meters, Time: 45.1 seconds
Name: -, Instruction: Arrive at Sandra Shamas Lane, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
