Name: Dew Lang Lane, Instruction: Head south on Dew Lang Lane, Distance: 85.8 meters, Time: 61.8 seconds
Name: -, Instruction: Turn left, Distance: 37.1 meters, Time: 26.7 seconds
Name: -, Instruction: Turn left, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn right, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Turn left, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn right, Distance: 330.9 meters, Time: 238.2 seconds
Name: -, Instruction: Keep left, Distance: 486.8 meters, Time: 350.5 seconds
Name: -, Instruction: Turn left, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn right, Distance: 482.2 meters, Time: 347.2 seconds
Name: -, Instruction: Keep left, Distance: 31.2 meters, Time: 22.5 seconds
Name: -, Instruction: Turn right, Distance: 81.3 meters, Time: 58.6 seconds
Name: Sproat Avenue, Instruction: Turn left onto Sproat Avenue, Distance: 19.1 meters, Time: 13.8 seconds
Name: Peyton Lane, Instruction: Turn right onto Peyton Lane, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 60.0 meters, Time: 43.2 seconds
Name: Curzon Street, Instruction: Turn right onto Curzon Street, Distance: 248.6 meters, Time: 179.0 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 87.4 meters, Time: 62.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
