Name: Jubilee Avenue, Instruction: Head southwest on Jubilee Avenue, Distance: 206.6 meters, Time: 148.8 seconds
Name: Narrabeen Creek Path, Instruction: Turn left onto Narrabeen Creek Path, Distance: 293.7 meters, Time: 211.5 seconds
Name: -, Instruction: Turn right, Distance: 28.8 meters, Time: 20.7 seconds
Name: -, Instruction: Continue straight, Distance: 153.8 meters, Time: 110.7 seconds
Name: -, Instruction: Turn left, Distance: 110.9 meters, Time: 79.8 seconds
Name: -, Instruction: Turn right, Distance: 25.1 meters, Time: 18.1 seconds
Name: -, Instruction: Turn left, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 165.9 meters, Time: 119.4 seconds
Name: -, Instruction: Turn left, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 10.9 meters, Time: 7.8 seconds
Name: Dove Lane, Instruction: Turn right onto Dove Lane, Distance: 14.9 meters, Time: 10.7 seconds
Name: Fern Creek Road, Instruction: Turn left onto Fern Creek Road, Distance: 383.3 meters, Time: 276.0 seconds
Name: Orchard Street, Instruction: Turn right onto Orchard Street, Distance: 68.2 meters, Time: 49.1 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn right, Distance: 107.6 meters, Time: 77.5 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.2 seconds
Name: Mahogany Boulevard, Instruction: Turn left onto Mahogany Boulevard, Distance: 98.8 meters, Time: 71.1 seconds
Name: Acacia Circuit, Instruction: Turn right onto Acacia Circuit, Distance: 77.2 meters, Time: 55.6 seconds
Name: Viola Avenue, Instruction: Keep right onto Viola Avenue, Distance: 49.7 meters, Time: 35.8 seconds
Name: -, Instruction: Arrive at Viola Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
