Name: Meißener Straße, Instruction: Head northwest on Meißener Straße, Distance: 18.2 meters, Time: 13.1 seconds
Name: Karl-Bucher-Weg, Instruction: Turn right onto Karl-Bucher-Weg, Distance: 60.8 meters, Time: 43.8 seconds
Name: Moosacher Sankt-Martins-Platz, Instruction: Turn left onto Moosacher Sankt-Martins-Platz, Distance: 39.6 meters, Time: 28.5 seconds
Name: -, Instruction: Turn right, Distance: 64.7 meters, Time: 46.6 seconds
Name: -, Instruction: Keep right, Distance: 133.4 meters, Time: 96.1 seconds
Name: -, Instruction: Turn left, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn right, Distance: 42.5 meters, Time: 30.6 seconds
Name: -, Instruction: Keep left, Distance: 62.4 meters, Time: 44.9 seconds
Name: -, Instruction: Keep right, Distance: 17.7 meters, Time: 12.8 seconds
Name: -, Instruction: Continue straight, Distance: 204.4 meters, Time: 147.1 seconds
Name: Seydlitzstraße, Instruction: Turn left onto Seydlitzstraße, Distance: 89.5 meters, Time: 64.5 seconds
Name: -, Instruction: Arrive at Seydlitzstraße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
