Name: Ellington Square, Instruction: Head southwest on Ellington Square, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 139.2 meters, Time: 100.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 214.7 meters, Time: 154.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Turn left, Distance: 24.1 meters, Time: 17.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 200.6 meters, Time: 144.4 seconds
Name: -, Instruction: Turn left, Distance: 82.4 meters, Time: 59.4 seconds
Name: -, Instruction: Turn right, Distance: 207.3 meters, Time: 149.2 seconds
Name: -, Instruction: Turn left, Distance: 147.3 meters, Time: 106.1 seconds
Name: -, Instruction: Turn right, Distance: 2.8 meters, Time: 2.0 seconds
Name: Ang Mo Kio Street 22, Instruction: Turn left onto Ang Mo Kio Street 22, Distance: 323.8 meters, Time: 233.1 seconds
Name: -, Instruction: Turn right, Distance: 20.1 meters, Time: 14.4 seconds
Name: -, Instruction: Turn left, Distance: 101.6 meters, Time: 73.2 seconds
Name: -, Instruction: Turn right, Distance: 155.5 meters, Time: 112.0 seconds
Name: -, Instruction: Turn left, Distance: 66.1 meters, Time: 47.6 seconds
Name: -, Instruction: Turn right, Distance: 115.0 meters, Time: 82.8 seconds
Name: -, Instruction: Keep left, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: Ang Mo Kio Street 31, Instruction: Turn right onto Ang Mo Kio Street 31, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: Ang Mo Kio Street 31, Instruction: Turn right onto Ang Mo Kio Street 31, Distance: 178.5 meters, Time: 128.5 seconds
Name: -, Instruction: Turn left, Distance: 209.2 meters, Time: 150.6 seconds
Name: -, Instruction: Turn left, Distance: 15.2 meters, Time: 11.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
