Name: Hermann-Stockmann-Straße, Instruction: Head south on Hermann-Stockmann-Straße, Distance: 161.9 meters, Time: 116.6 seconds
Name: Moosstraße, Instruction: Turn right onto Moosstraße, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn slight left, Distance: 33.8 meters, Time: 24.4 seconds
Name: -, Instruction: Keep right, Distance: 172.3 meters, Time: 124.1 seconds
Name: Langwieder Straße, Instruction: Turn left onto Langwieder Straße, Distance: 664.1 meters, Time: 478.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 95.5 meters, Time: 68.7 seconds
Name: -, Instruction: Turn slight left, Distance: 72.9 meters, Time: 52.5 seconds
Name: -, Instruction: Turn slight left, Distance: 238.8 meters, Time: 172.0 seconds
Name: -, Instruction: Turn slight left, Distance: 5.9 meters, Time: 4.3 seconds
Name: -, Instruction: Keep left, Distance: 83.0 meters, Time: 59.7 seconds
Name: -, Instruction: Keep right, Distance: 354.1 meters, Time: 255.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 266.6 meters, Time: 192.0 seconds
Name: Waldschwaigweg, Instruction: Turn right onto Waldschwaigweg, Distance: 186.9 meters, Time: 134.6 seconds
Name: -, Instruction: Arrive at Waldschwaigweg, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
