Name: Chenies Mews, Instruction: Head southwest on Chenies Mews, Distance: 4.6 meters, Time: 3.3 seconds
Name: Huntley Street, Instruction: Turn left onto Huntley Street, Distance: 4.7 meters, Time: 3.4 seconds
Name: Capper Street, Instruction: Turn right onto Capper Street, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 87.1 meters, Time: 62.7 seconds
Name: Capper Street, Instruction: Turn left onto Capper Street, Distance: 18.6 meters, Time: 13.4 seconds
Name: Tottenham Court Road, Instruction: Turn left onto Tottenham Court Road, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Keep right, Distance: 138.3 meters, Time: 99.5 seconds
Name: -, Instruction: Turn left, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Keep right, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 112.8 meters, Time: 81.2 seconds
Name: -, Instruction: Turn left, Distance: 2.4 meters, Time: 1.8 seconds
Name: -, Instruction: Turn right, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 82.3 meters, Time: 59.3 seconds
Name: Foley Street, Instruction: Turn right onto Foley Street, Distance: 119.1 meters, Time: 85.7 seconds
Name: Candover Street, Instruction: Turn left onto Candover Street, Distance: 33.4 meters, Time: 24.0 seconds
Name: -, Instruction: Turn right, Distance: 9.9 meters, Time: 7.2 seconds
Name: Candover Street, Instruction: Turn left onto Candover Street, Distance: 2.7 meters, Time: 2.0 seconds
Name: Riding House Street, Instruction: Turn right onto Riding House Street, Distance: 96.8 meters, Time: 69.7 seconds
Name: Great Titchfield Street, Instruction: Turn left onto Great Titchfield Street, Distance: 80.8 meters, Time: 58.2 seconds
Name: -, Instruction: Turn right, Distance: 11.4 meters, Time: 8.2 seconds
Name: Mortimer Street, Instruction: Turn right onto Mortimer Street, Distance: 99.4 meters, Time: 71.6 seconds
Name: Margaret Street, Instruction: Turn right onto Margaret Street, Distance: 6.5 meters, Time: 4.7 seconds
Name: Great Titchfield Street, Instruction: Turn left onto Great Titchfield Street, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.5 seconds
Name: Great Titchfield Street, Instruction: Turn right onto Great Titchfield Street, Distance: 51.6 meters, Time: 37.1 seconds
Name: -, Instruction: Turn right, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Turn left, Distance: 52.6 meters, Time: 37.9 seconds
Name: Great Titchfield Street, Instruction: Turn slight left onto Great Titchfield Street, Distance: 112.5 meters, Time: 81.0 seconds
Name: Ramillies Place, Instruction: Turn right onto Ramillies Place, Distance: 21.6 meters, Time: 15.6 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
