Name: Rue Gabriel Péri, Instruction: Head southeast on Rue Gabriel Péri, Distance: 203.7 meters, Time: 146.7 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 97.0 meters, Time: 69.8 seconds
Name: -, Instruction: Turn right, Distance: 69.3 meters, Time: 49.9 seconds
Name: -, Instruction: Turn left, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn right, Distance: 7.5 meters, Time: 5.4 seconds
Name: Rue Louis Vierne, Instruction: Turn left onto Rue Louis Vierne, Distance: 18.0 meters, Time: 12.9 seconds
Name: Rue Louis Vierne, Instruction: Turn slight right onto Rue Louis Vierne, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn slight right, Distance: 73.3 meters, Time: 52.8 seconds
Name: -, Instruction: Turn left, Distance: 64.0 meters, Time: 46.1 seconds
Name: Promenade Bernard Lafray, Instruction: Turn right onto Promenade Bernard Lafray, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn slight left, Distance: 88.7 meters, Time: 63.9 seconds
Name: -, Instruction: Turn right, Distance: 71.2 meters, Time: 51.3 seconds
Name: -, Instruction: Turn left, Distance: 12.9 meters, Time: 9.3 seconds
Name: Place de la Porte de Champerret, D 9B, Instruction: Turn right onto Place de la Porte de Champerret, D 9B, Distance: 13.5 meters, Time: 9.7 seconds
Name: Place de la Porte de Champerret, Instruction: Turn slight left onto Place de la Porte de Champerret, Distance: 50.7 meters, Time: 36.5 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 18.4 meters, Time: 13.3 seconds
Name: Boulevard Gouvion-Saint-Cyr, Instruction: Turn left onto Boulevard Gouvion-Saint-Cyr, Distance: 24.6 meters, Time: 17.7 seconds
Name: Rue Descombes, Instruction: Turn sharp right onto Rue Descombes, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 124.4 meters, Time: 89.5 seconds
Name: -, Instruction: Keep left, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
