Name: Teck Whye Lane, Instruction: Head northwest on Teck Whye Lane, Distance: 65.9 meters, Time: 47.5 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 117.0 meters, Time: 84.2 seconds
Name: -, Instruction: Turn slight left, Distance: 225.5 meters, Time: 162.3 seconds
Name: -, Instruction: Keep left, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn slight left, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn right, Distance: 346.7 meters, Time: 249.6 seconds
Name: -, Instruction: Turn right, Distance: 12.4 meters, Time: 9.0 seconds
Name: -, Instruction: Turn left, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Turn slight left, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 29.0 meters, Time: 20.9 seconds
Name: -, Instruction: Turn left, Distance: 7.7 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 81.5 meters, Time: 58.7 seconds
Name: -, Instruction: Turn right, Distance: 60.0 meters, Time: 43.2 seconds
Name: -, Instruction: Turn left, Distance: 27.0 meters, Time: 19.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
