Name: Glenelg Place, Instruction: Head southeast on Glenelg Place, Distance: 94.0 meters, Time: 67.7 seconds
Name: Sutherland Road, Instruction: Turn right onto Sutherland Road, Distance: 529.1 meters, Time: 380.9 seconds
Name: Sutherland Road, Instruction: Continue straight onto Sutherland Road, Distance: 31.3 meters, Time: 22.5 seconds
Name: Copeland Road, Instruction: Turn left onto Copeland Road, Distance: 75.3 meters, Time: 54.2 seconds
Name: Copeland Road, Instruction: Turn left onto Copeland Road, Distance: 47.6 meters, Time: 34.3 seconds
Name: -, Instruction: Turn left, Distance: 260.4 meters, Time: 187.4 seconds
Name: Welham Street, Instruction: Turn right onto Welham Street, Distance: 305.7 meters, Time: 220.1 seconds
Name: -, Instruction: Turn right, Distance: 448.0 meters, Time: 322.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 80.3 meters, Time: 57.8 seconds
Name: -, Instruction: Keep left, Distance: 142.2 meters, Time: 102.4 seconds
Name: -, Instruction: Turn right, Distance: 277.4 meters, Time: 199.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
