Name: Heath Street West, Instruction: Head east on Heath Street West, Distance: 343.4 meters, Time: 247.2 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 65.5 meters, Time: 47.2 seconds
Name: -, Instruction: Turn left, Distance: 125.1 meters, Time: 90.1 seconds
Name: -, Instruction: Turn right, Distance: 4.8 meters, Time: 3.4 seconds
Name: Oriole Road, Instruction: Turn left onto Oriole Road, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 82.9 meters, Time: 59.7 seconds
Name: -, Instruction: Turn slight right, Distance: 53.0 meters, Time: 38.1 seconds
Name: -, Instruction: Turn left, Distance: 714.1 meters, Time: 514.1 seconds
Name: -, Instruction: Keep left, Distance: 41.7 meters, Time: 30.1 seconds
Name: -, Instruction: Turn left, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 255.1 meters, Time: 183.6 seconds
Name: -, Instruction: Keep left, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn left, Distance: 213.5 meters, Time: 153.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
