Name: Calle Aleta, Instruction: Head southeast on Calle Aleta, Distance: 142.5 meters, Time: 102.6 seconds
Name: Calle Sor Juana Inés de la Cruz, Instruction: Turn slight left onto Calle Sor Juana Inés de la Cruz, Distance: 429.4 meters, Time: 309.2 seconds
Name: -, Instruction: Continue straight, Distance: 12.2 meters, Time: 8.8 seconds
Name: Calle Juan de Dios Peza, Instruction: Turn left onto Calle Juan de Dios Peza, Distance: 359.6 meters, Time: 258.9 seconds
Name: -, Instruction: Turn right, Distance: 115.8 meters, Time: 83.4 seconds
Name: Calle Heberto Castillo, Instruction: Turn right onto Calle Heberto Castillo, Distance: 251.0 meters, Time: 180.7 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: Calle Heberto Castillo, Instruction: Turn left onto Calle Heberto Castillo, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn right, Distance: 483.2 meters, Time: 347.9 seconds
Name: -, Instruction: Continue straight, Distance: 28.8 meters, Time: 20.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
