Name: Riemenschneiderstraße, Instruction: Head west on Riemenschneiderstraße, Distance: 150.7 meters, Time: 108.5 seconds
Name: Hauptstraße, Instruction: Turn right onto Hauptstraße, Distance: 124.1 meters, Time: 89.3 seconds
Name: -, Instruction: Turn left, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn right, Distance: 34.8 meters, Time: 25.0 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Keep right, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn slight right, Distance: 42.1 meters, Time: 30.3 seconds
Name: Bahnhofsweg, Instruction: Turn left onto Bahnhofsweg, Distance: 27.6 meters, Time: 19.9 seconds
Name: Bahnhofsweg, Instruction: Turn right onto Bahnhofsweg, Distance: 12.8 meters, Time: 9.2 seconds
Name: Münchner Straße, Instruction: Turn slight right onto Münchner Straße, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 80.1 meters, Time: 57.6 seconds
Name: -, Instruction: Continue straight, Distance: 46.9 meters, Time: 33.7 seconds
Name: Fasanenstraße, Instruction: Keep left onto Fasanenstraße, Distance: 533.2 meters, Time: 383.9 seconds
Name: -, Instruction: Turn right, Distance: 30.6 meters, Time: 22.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
