Name: Entrée Valmy, Instruction: Head northeast on Entrée Valmy, Distance: 110.5 meters, Time: 79.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 24.0 meters, Time: 17.3 seconds
Name: -, Instruction: Keep left, Distance: 279.0 meters, Time: 200.8 seconds
Name: Route de la Demi-Lune, Instruction: Continue straight onto Route de la Demi-Lune, Distance: 23.0 meters, Time: 16.5 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 41.1 meters, Time: 29.6 seconds
Name: Route de la Demi-Lune, Instruction: Continue straight onto Route de la Demi-Lune, Distance: 109.0 meters, Time: 78.5 seconds
Name: -, Instruction: Turn left, Distance: 40.6 meters, Time: 29.2 seconds
Name: -, Instruction: Turn left, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 180.7 meters, Time: 130.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 25.5 meters, Time: 18.4 seconds
Name: -, Instruction: Turn right, Distance: 133.7 meters, Time: 96.3 seconds
Name: -, Instruction: Keep left, Distance: 217.5 meters, Time: 156.6 seconds
Name: -, Instruction: Continue straight, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 116.2 meters, Time: 83.7 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 34.8 meters, Time: 25.0 seconds
Name: Rue Marcelin Berthelot, Instruction: Turn left onto Rue Marcelin Berthelot, Distance: 2.3 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 43.6 meters, Time: 31.4 seconds
Name: Résidence du Carré Vert, Instruction: Turn right onto Résidence du Carré Vert, Distance: 76.2 meters, Time: 54.8 seconds
Name: -, Instruction: Arrive at Résidence du Carré Vert, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
