Name: Manenberg Avenue, Instruction: Head north on Manenberg Avenue, Distance: 126.2 meters, Time: 90.9 seconds
Name: -, Instruction: Turn left, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Keep right, Distance: 51.7 meters, Time: 37.2 seconds
Name: -, Instruction: Turn right, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 39.4 meters, Time: 28.3 seconds
Name: Olifants Road, Instruction: Turn right onto Olifants Road, Distance: 226.0 meters, Time: 162.7 seconds
Name: -, Instruction: Turn right, Distance: 64.5 meters, Time: 46.5 seconds
Name: Turf Hall Road, M24, Instruction: Turn slight left onto Turf Hall Road, M24, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 87.4 meters, Time: 63.0 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Keep right, Distance: 170.3 meters, Time: 122.6 seconds
Name: Bot Street, Instruction: Turn right onto Bot Street, Distance: 15.4 meters, Time: 11.1 seconds
Name: Ruimte Road, Instruction: Turn left onto Ruimte Road, Distance: 411.9 meters, Time: 296.6 seconds
Name: Sirius Road, Instruction: Turn right onto Sirius Road, Distance: 19.5 meters, Time: 14.1 seconds
Name: -, Instruction: Turn left, Distance: 76.5 meters, Time: 55.1 seconds
Name: Orion Road, Instruction: Turn right onto Orion Road, Distance: 120.8 meters, Time: 87.0 seconds
Name: -, Instruction: Turn left, Distance: 172.4 meters, Time: 124.1 seconds
Name: Genootskap Road, Instruction: Turn right onto Genootskap Road, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 56.2 meters, Time: 40.5 seconds
Name: -, Instruction: Turn right, Distance: 8.9 meters, Time: 6.4 seconds
Name: Genootskap Road, Instruction: Turn left onto Genootskap Road, Distance: 19.2 meters, Time: 13.8 seconds
Name: -, Instruction: Keep right, Distance: 60.8 meters, Time: 43.8 seconds
Name: -, Instruction: Turn right, Distance: 44.5 meters, Time: 32.0 seconds
Name: College Road, Instruction: Turn left onto College Road, Distance: 296.3 meters, Time: 213.3 seconds
Name: Angela Road, Instruction: Turn sharp left onto Angela Road, Distance: 51.1 meters, Time: 36.8 seconds
Name: Bombay Road, Instruction: Turn right onto Bombay Road, Distance: 144.8 meters, Time: 104.3 seconds
Name: -, Instruction: Arrive at Bombay Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
