Name: Stanford Way, Instruction: Head northwest on Stanford Way, Distance: 74.0 meters, Time: 53.3 seconds
Name: Wimbledon Way, Instruction: Turn left onto Wimbledon Way, Distance: 145.8 meters, Time: 104.9 seconds
Name: Wemmerspan Road, Instruction: Turn right onto Wemmerspan Road, Distance: 244.3 meters, Time: 175.9 seconds
Name: Zandvoort Road, Instruction: Turn right onto Zandvoort Road, Distance: 24.5 meters, Time: 17.6 seconds
Name: -, Instruction: Turn left, Distance: 495.5 meters, Time: 356.8 seconds
Name: Edgemead Drive, Instruction: Turn left onto Edgemead Drive, Distance: 13.4 meters, Time: 9.6 seconds
Name: Settlers Drive, Instruction: Turn right onto Settlers Drive, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 74.8 meters, Time: 53.9 seconds
Name: Edgemead Drive, Instruction: Turn right onto Edgemead Drive, Distance: 340.3 meters, Time: 245.0 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Keep left, Distance: 282.0 meters, Time: 203.0 seconds
Name: -, Instruction: Turn right, Distance: 7.3 meters, Time: 5.3 seconds
Name: Edgemead Drive, Instruction: Turn left onto Edgemead Drive, Distance: 55.7 meters, Time: 40.1 seconds
Name: -, Instruction: Turn left, Distance: 58.1 meters, Time: 41.8 seconds
Name: Vryburger Avenue, Instruction: Turn left onto Vryburger Avenue, Distance: 30.9 meters, Time: 22.3 seconds
Name: -, Instruction: Turn right, Distance: 79.1 meters, Time: 56.9 seconds
Name: Vreem Street, Instruction: Turn left onto Vreem Street, Distance: 494.1 meters, Time: 355.7 seconds
Name: -, Instruction: Continue straight, Distance: 31.4 meters, Time: 22.6 seconds
Name: -, Instruction: Turn right, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn right, Distance: 115.1 meters, Time: 82.9 seconds
Name: Ross Street, Instruction: Turn left onto Ross Street, Distance: 126.1 meters, Time: 90.8 seconds
Name: Ganci Close, Instruction: Turn left onto Ganci Close, Distance: 62.0 meters, Time: 44.6 seconds
Name: -, Instruction: Arrive at Ganci Close, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
