Name: Frost Lane, Instruction: Head east on Frost Lane, Distance: 326.3 meters, Time: 235.0 seconds
Name: Priam Street, Instruction: Turn right onto Priam Street, Distance: 33.5 meters, Time: 24.1 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.6 seconds
Name: -, Instruction: Turn slight left, Distance: 431.6 meters, Time: 310.8 seconds
Name: -, Instruction: Turn right, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 419.8 meters, Time: 302.3 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.3 seconds
Name: Waldron Road, Instruction: Turn left onto Waldron Road, Distance: 26.6 meters, Time: 19.2 seconds
Name: Helen Street, Instruction: Enter the roundabout and take the 1st exit onto Helen Street, Distance: 106.9 meters, Time: 77.0 seconds
Name: -, Instruction: Turn right, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 19.4 meters, Time: 14.0 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
