Name: Stieglstraße, Instruction: Head north on Stieglstraße, Distance: 602.2 meters, Time: 433.6 seconds
Name: Ernst-Haeckel-Straße, Instruction: Keep right onto Ernst-Haeckel-Straße, Distance: 112.8 meters, Time: 81.2 seconds
Name: Franz-Albert-Straße, Instruction: Turn left onto Franz-Albert-Straße, Distance: 103.1 meters, Time: 74.2 seconds
Name: Paul-Ehrlich-Weg, Instruction: Turn right onto Paul-Ehrlich-Weg, Distance: 120.2 meters, Time: 86.6 seconds
Name: Servetstraße, Instruction: Turn left onto Servetstraße, Distance: 46.4 meters, Time: 33.4 seconds
Name: -, Instruction: Keep right, Distance: 311.1 meters, Time: 224.0 seconds
Name: -, Instruction: Turn right, Distance: 81.4 meters, Time: 58.6 seconds
Name: -, Instruction: Keep right, Distance: 70.9 meters, Time: 51.1 seconds
Name: Kleselstraße, Instruction: Turn right onto Kleselstraße, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 572.5 meters, Time: 412.2 seconds
Name: Hohenadelweg, Instruction: Turn right onto Hohenadelweg, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 168.8 meters, Time: 121.5 seconds
Name: -, Instruction: Turn left, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Keep left, Distance: 100.9 meters, Time: 72.7 seconds
Name: Eversbuschstraße, Instruction: Turn slight left onto Eversbuschstraße, Distance: 97.1 meters, Time: 69.9 seconds
Name: -, Instruction: Turn left, Distance: 46.8 meters, Time: 33.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
