Name: President Avenue, Instruction: Head east on President Avenue, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 220.9 meters, Time: 159.1 seconds
Name: Flora Street, Instruction: Turn right onto Flora Street, Distance: 3.7 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 22.4 meters, Time: 16.1 seconds
Name: Oak Road, Instruction: Turn slight left onto Oak Road, Distance: 156.0 meters, Time: 112.3 seconds
Name: -, Instruction: Turn slight right, Distance: 411.2 meters, Time: 296.1 seconds
Name: -, Instruction: Turn slight left, Distance: 878.1 meters, Time: 632.2 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 21.0 meters, Time: 15.1 seconds
Name: -, Instruction: Turn right, Distance: 45.7 meters, Time: 32.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
