Name: Privada Pino, Instruction: Head southwest on Privada Pino, Distance: 74.4 meters, Time: 53.6 seconds
Name: Calle las Rosas, Instruction: Turn sharp left onto Calle las Rosas, Distance: 289.3 meters, Time: 208.3 seconds
Name: Avenida Cruz Blanca, Instruction: Turn sharp left onto Avenida Cruz Blanca, Distance: 131.1 meters, Time: 94.4 seconds
Name: Calle Mirador Chapultepec, Instruction: Turn left onto Calle Mirador Chapultepec, Distance: 191.4 meters, Time: 137.8 seconds
Name: -, Instruction: Turn right, Distance: 352.1 meters, Time: 253.5 seconds
Name: -, Instruction: Keep right, Distance: 8.5 meters, Time: 6.1 seconds
Name: Calle Tetequillo, Instruction: Turn sharp right onto Calle Tetequillo, Distance: 135.5 meters, Time: 97.6 seconds
Name: -, Instruction: Turn right, Distance: 110.7 meters, Time: 79.7 seconds
Name: -, Instruction: Turn left, Distance: 171.6 meters, Time: 123.6 seconds
Name: -, Instruction: Turn right, Distance: 28.1 meters, Time: 20.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
