Name: メトロード, Instruction: Head south on メトロード, Distance: 41.2 meters, Time: 29.7 seconds
Name: -, Instruction: Turn left, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Keep left, Distance: 309.7 meters, Time: 223.0 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 25.9 meters, Time: 18.7 seconds
Name: -, Instruction: Turn slight right, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Keep left, Distance: 458.5 meters, Time: 330.1 seconds
Name: -, Instruction: Turn right, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn slight right, Distance: 601.8 meters, Time: 433.3 seconds
Name: -, Instruction: Turn right, Distance: 397.8 meters, Time: 286.4 seconds
Name: -, Instruction: Turn right, Distance: 118.8 meters, Time: 85.6 seconds
Name: -, Instruction: Turn left, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 184.6 meters, Time: 132.9 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
