Name: McNair Road, Instruction: Head northeast on McNair Road, Distance: 55.2 meters, Time: 39.7 seconds
Name: -, Instruction: Turn left, Distance: 14.1 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 38.2 meters, Time: 27.5 seconds
Name: -, Instruction: Turn right, Distance: 142.0 meters, Time: 102.3 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 79.4 meters, Time: 57.1 seconds
Name: -, Instruction: Turn left, Distance: 190.8 meters, Time: 137.3 seconds
Name: Saint George's Lane, Instruction: Keep right onto Saint George's Lane, Distance: 12.3 meters, Time: 8.8 seconds
Name: -, Instruction: Turn right, Distance: 16.9 meters, Time: 12.1 seconds
Name: Saint George's Road, Instruction: Turn right onto Saint George's Road, Distance: 52.6 meters, Time: 37.9 seconds
Name: -, Instruction: Turn left, Distance: 53.2 meters, Time: 38.3 seconds
Name: -, Instruction: Turn left, Distance: 99.3 meters, Time: 71.5 seconds
Name: -, Instruction: Turn slight left, Distance: 51.9 meters, Time: 37.4 seconds
Name: -, Instruction: Turn right, Distance: 328.7 meters, Time: 236.7 seconds
Name: Kallang Park Connector, Instruction: Turn right onto Kallang Park Connector, Distance: 181.3 meters, Time: 130.5 seconds
Name: Moonstone Lane, Instruction: Turn right onto Moonstone Lane, Distance: 40.4 meters, Time: 29.1 seconds
Name: -, Instruction: Turn left, Distance: 30.6 meters, Time: 22.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
