Name: Chenies Mews, Instruction: Head northeast on Chenies Mews, Distance: 150.7 meters, Time: 108.5 seconds
Name: -, Instruction: Turn left, Distance: 42.1 meters, Time: 30.3 seconds
Name: Torrington Place, Instruction: Turn slight left onto Torrington Place, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 12.4 meters, Time: 8.9 seconds
Name: Gower Street, Instruction: Turn right onto Gower Street, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 82.9 meters, Time: 59.7 seconds
Name: Byng Place, Instruction: Keep left onto Byng Place, Distance: 241.6 meters, Time: 174.0 seconds
Name: -, Instruction: Turn right, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 71.6 meters, Time: 51.6 seconds
Name: -, Instruction: Turn slight left, Distance: 1.7 meters, Time: 1.3 seconds
Name: -, Instruction: Turn right, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Turn right, Distance: 200.8 meters, Time: 144.5 seconds
Name: Marchmont Street, Instruction: Turn slight right onto Marchmont Street, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn slight left, Distance: 115.2 meters, Time: 83.0 seconds
Name: -, Instruction: Turn slight left, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn right, Distance: 10.5 meters, Time: 7.5 seconds
Name: Tavistock Place, Instruction: Turn left onto Tavistock Place, Distance: 116.3 meters, Time: 83.8 seconds
Name: Regent Square, Instruction: Continue straight onto Regent Square, Distance: 83.7 meters, Time: 60.3 seconds
Name: Sidmouth Street, Instruction: Turn slight left onto Sidmouth Street, Distance: 344.0 meters, Time: 247.7 seconds
Name: Cubitt Street, Instruction: Turn right onto Cubitt Street, Distance: 154.9 meters, Time: 111.5 seconds
Name: Pakenham Street, Instruction: Turn slight right onto Pakenham Street, Distance: 246.5 meters, Time: 177.5 seconds
Name: -, Instruction: Turn right, Distance: 3.7 meters, Time: 2.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
