Name: Holland Grove View, Instruction: Head northeast on Holland Grove View, Distance: 6.2 meters, Time: 4.5 seconds
Name: Grove Drive, Instruction: Turn left onto Grove Drive, Distance: 434.8 meters, Time: 313.0 seconds
Name: Mount Sinai Road, Instruction: Turn left onto Mount Sinai Road, Distance: 50.8 meters, Time: 36.6 seconds
Name: Holland Grove Road, Instruction: Turn right onto Holland Grove Road, Distance: 281.3 meters, Time: 202.5 seconds
Name: Holland Grove Road, Instruction: Keep left onto Holland Grove Road, Distance: 25.5 meters, Time: 18.4 seconds
Name: -, Instruction: Turn left, Distance: 24.3 meters, Time: 17.5 seconds
Name: -, Instruction: Keep right, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn right, Distance: 39.1 meters, Time: 28.2 seconds
Name: -, Instruction: Turn right, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Continue straight, Distance: 300.5 meters, Time: 216.4 seconds
Name: -, Instruction: Turn left, Distance: 482.0 meters, Time: 347.0 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: Greenleaf Road, Instruction: Turn left onto Greenleaf Road, Distance: 10.8 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
