Name: Streatham Hill, A23, Instruction: Head northeast on Streatham Hill, A23, Distance: 21.5 meters, Time: 15.5 seconds
Name: Downton Avenue, Instruction: Turn right onto Downton Avenue, Distance: 10.2 meters, Time: 7.4 seconds
Name: Streatham Hill, A23, Instruction: Turn left onto Streatham Hill, A23, Distance: 91.7 meters, Time: 66.0 seconds
Name: Wyatt Park Road, Instruction: Turn right onto Wyatt Park Road, Distance: 202.1 meters, Time: 145.5 seconds
Name: Daysbrook Road, Instruction: Turn left onto Daysbrook Road, Distance: 182.7 meters, Time: 131.5 seconds
Name: -, Instruction: Turn right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 144.7 meters, Time: 104.2 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 54.8 meters, Time: 39.4 seconds
Name: -, Instruction: Turn left, Distance: 82.9 meters, Time: 59.7 seconds
Name: -, Instruction: Turn right, Distance: 3.7 meters, Time: 2.7 seconds
Name: Roupell Road, Instruction: Turn left onto Roupell Road, Distance: 187.7 meters, Time: 135.2 seconds
Name: Upper Tulse Hill, Instruction: Turn right onto Upper Tulse Hill, Distance: 172.3 meters, Time: 124.0 seconds
Name: Atwater Close, Instruction: Turn left onto Atwater Close, Distance: 229.9 meters, Time: 165.6 seconds
Name: -, Instruction: Turn left, Distance: 56.9 meters, Time: 41.0 seconds
Name: Tulse Hill, A204, Instruction: Turn right onto Tulse Hill, A204, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 13.1 meters, Time: 9.4 seconds
Name: Cressingham Gardens, Instruction: Turn left onto Cressingham Gardens, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn right, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 41.8 meters, Time: 30.1 seconds
Name: -, Instruction: Turn right, Distance: 100.4 meters, Time: 72.3 seconds
Name: -, Instruction: Turn right, Distance: 32.0 meters, Time: 23.0 seconds
Name: -, Instruction: Turn left, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 142.5 meters, Time: 102.6 seconds
Name: -, Instruction: Turn left, Distance: 151.8 meters, Time: 109.3 seconds
Name: -, Instruction: Turn slight right, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn left, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn left, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Keep left, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
