Name: Jacaranda Court, Instruction: Head north on Jacaranda Court, Distance: 153.6 meters, Time: 110.6 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 166.7 meters, Time: 120.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 10.3 meters, Time: 7.4 seconds
Name: Girdhar Place, Instruction: Turn right onto Girdhar Place, Distance: 6.9 meters, Time: 5.0 seconds
Name: Cooper Street, Instruction: Turn left onto Cooper Street, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Turn right, Distance: 109.2 meters, Time: 78.6 seconds
Name: -, Instruction: Turn left, Distance: 160.7 meters, Time: 115.7 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.8 seconds
Name: Queen Street, Instruction: Turn left onto Queen Street, Distance: 7.4 meters, Time: 5.4 seconds
Name: Nelson Street, Instruction: Enter the roundabout and take the 1st exit onto Nelson Street, Distance: 23.3 meters, Time: 16.8 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 171.8 meters, Time: 123.7 seconds
Name: -, Instruction: Keep right, Distance: 163.4 meters, Time: 117.6 seconds
Name: Collie Road, Instruction: Turn left onto Collie Road, Distance: 290.3 meters, Time: 209.0 seconds
Name: Collie Road, Instruction: Turn right onto Collie Road, Distance: 108.7 meters, Time: 78.3 seconds
Name: John Street, Instruction: Turn left onto John Street, Distance: 264.9 meters, Time: 190.7 seconds
Name: -, Instruction: Arrive at John Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
