Name: Grande Avenue, Instruction: Head west on Grande Avenue, Distance: 188.9 meters, Time: 136.0 seconds
Name: Rue Anatole France, Instruction: Turn left onto Rue Anatole France, Distance: 183.4 meters, Time: 132.0 seconds
Name: Rue Jean-Baptiste Sémanaz, Instruction: Turn left onto Rue Jean-Baptiste Sémanaz, Distance: 165.0 meters, Time: 118.8 seconds
Name: -, Instruction: Turn right, Distance: 139.9 meters, Time: 100.7 seconds
Name: -, Instruction: Turn left, Distance: 112.0 meters, Time: 80.7 seconds
Name: -, Instruction: Turn right, Distance: 34.3 meters, Time: 24.7 seconds
Name: -, Instruction: Turn right, Distance: 28.0 meters, Time: 20.2 seconds
Name: -, Instruction: Turn slight left, Distance: 120.4 meters, Time: 86.7 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn right, Distance: 35.2 meters, Time: 25.3 seconds
Name: -, Instruction: Turn right, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: Rue Petit, Instruction: Turn left onto Rue Petit, Distance: 418.3 meters, Time: 301.2 seconds
Name: -, Instruction: Arrive at Rue Petit, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
