Name: Rue de Lagny, Instruction: Head west on Rue de Lagny, Distance: 338.7 meters, Time: 243.9 seconds
Name: -, Instruction: Turn left, Distance: 44.5 meters, Time: 32.0 seconds
Name: -, Instruction: Turn right, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Keep left, Distance: 134.4 meters, Time: 96.7 seconds
Name: -, Instruction: Turn right, Distance: 33.6 meters, Time: 24.2 seconds
Name: -, Instruction: Turn left, Distance: 102.6 meters, Time: 73.9 seconds
Name: -, Instruction: Keep left, Distance: 53.0 meters, Time: 38.1 seconds
Name: -, Instruction: Turn slight left, Distance: 38.0 meters, Time: 27.4 seconds
Name: -, Instruction: Turn right, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Turn slight left, Distance: 37.6 meters, Time: 27.1 seconds
Name: -, Instruction: Turn left, Distance: 88.5 meters, Time: 63.7 seconds
Name: -, Instruction: Turn slight right, Distance: 683.5 meters, Time: 492.1 seconds
Name: -, Instruction: Keep right, Distance: 139.4 meters, Time: 100.4 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Turn right, Distance: 4.1 meters, Time: 2.9 seconds
Name: -, Instruction: Keep left, Distance: 306.9 meters, Time: 220.9 seconds
Name: -, Instruction: Turn left, Distance: 29.2 meters, Time: 21.0 seconds
Name: Rue Guillaumot, Instruction: Turn right onto Rue Guillaumot, Distance: 151.0 meters, Time: 108.7 seconds
Name: Place Henri Frenay, Instruction: Turn sharp left onto Place Henri Frenay, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn right, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn right, Distance: 42.6 meters, Time: 30.7 seconds
Name: -, Instruction: Turn left, Distance: 24.3 meters, Time: 17.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
